Turn,Happiness,Load
0,0,40
1,0,40
2,0,40
3,0,40
4,0,40
5,0,40
6,0,40
7,0,40
8,0,40
9,0,40
10,0,40
11,0,40
12,0,40
13,0,40
14,0,40
15,0,40
16,0,40
17,0,40
18,0,40
19,0,40
20,0,40
21,0,40
22,0,40
23,0,40
24,0,40
25,0,40
26,0,40
27,0,40
28,0,40
29,0,40
30,0,40
31,0,40
32,0,40
33,0,40
34,0,40
35,0,40
36,0,40
37,0,40
38,0,40
39,0,40
40,0,40
41,0,40
42,0,40
43,0,40
44,0,40
45,0,40
46,0,40
47,0,40
48,0,40
49,0,40
50,0,40
51,0,40
52,0,40
53,0,40
54,0,40
55,0,40
56,0,40
57,0,40
58,0,40
59,0,40
60,0,40
61,0,40
62,0,40
63,0,40
64,0,40
65,0,40
66,0,40
67,0,40
68,0,40
69,0,40
70,0,40
71,0,40
72,0,40
73,0,40
74,0,40
75,0,40
76,0,40
77,0,40
78,0,40
79,0,40
80,0,40
81,0,40
82,0,40
83,0,40
84,0,40
85,0,40
86,0,40
87,0,40
88,0,40
89,0,40
90,0,40
91,0,40
92,0,40
93,0,40
94,0,40
95,0,40
96,0,40
97,0,40
98,0,40
99,0,40
100,0,40
101,0,40
102,0,40
103,0,40
104,0,40
105,0,40
106,0,40
107,0,40
108,0,40
109,0,40
110,0,40
111,0,40
112,0,40
113,0,40
114,0,40
115,0,40
116,0,40
117,0,40
118,0,40
119,0,40
120,0,40
121,0,40
122,0,40
123,0,40
124,0,40
125,0,40
126,0,40
127,0,40
128,0,40
129,0,40
130,0,40
131,0,40
132,0,40
133,0,40
134,0,40
135,0,40
136,0,40
137,0,40
138,0,40
139,0,40
140,0,40
141,0,40
142,0,40
143,0,40
